atc_code,rxnorm_concept_id,combination
A01AA02,19068715,
A01AA03,,
A01AA30,,
A01AB14,19056737,
A01AB16,,
A01AC54,,Y
A01AD05,1112807,
A02AA03,,
A02AA10,,Y
A02AB02,985247,
A02AB05,,
A02AC10,,Y
A02AD01,,Y
A02AD03,,
A02AD05,,
A02AF01,,Y
A02AF02,,Y
A02BA05,,
A02BA08,,
A02BA51,,Y
A02BA53,,Y
A02BB02,,
A02BD01,,Y
A02BD02,,Y
A02BD03,,Y
A02BD04,,Y
A02BD05,,Y
A02BD06,,Y
A02BD07,,Y
A02BD08,,Y
A02BX04,,
A02BX07,,
A02BX08,,
A02BX10,,
A02BX11,,
A02BX51,,Y
A02BX71,,Y
A02BX77,,Y
A03AA03,19055815,
A03AA06,,
A03AB01,,
A03AB04,,
A03AB06,,
A03AB13,,
A03AB16,,
A03AB17,19055843,
A03AB18,19091232,
A03AB19,,
A03AB21,,
A03AB53,,Y
A03AC02,,
A03AC04,,
A03AD02,19056611,
A03AE03,,
A03AX01,,
A03AX03,,
A03AX06,,
A03AX07,,
A03AX11,,
A03AX30,,
A03AX58,,Y
A03BB02,,
A03BB04,,
A03BB05,,
A03CA01,,Y
A03CA02,,Y
A03CA03,,Y
A03CA04,,Y
A03CA05,,Y
A03CA06,,Y
A03CA07,,Y
A03CA08,,Y
A03CA30,,Y
A03CA34,,Y
A03CB01,,Y
A03CB02,,Y
A03CB03,,Y
A03CB04,,Y
A03CB31,,Y
A03DA01,,Y
A03DA02,,Y
A03DA03,,Y
A03DA04,,Y
A03DA05,,Y
A03DA06,,Y
A03DA07,,Y
A03DB04,,Y
A04AD13,,
A04AD51,,Y
A04AD54,,Y
A05AB01,,
A05AX01,,
A05BA01,19006410,
A05BA06,44507722,
A05BA07,,
A06AA51,,Y
A06AB01,,
A06AB08,19025115,
A06AB09,,
A06AB20,,Y
A06AB30,,Y
A06AB52,,Y
A06AB53,,Y
A06AB56,,Y
A06AB58,,Y
A06AC02,,
A06AC03,,
A06AC51,,Y
A06AC53,,Y
A06AC55,,Y
A06AD03,,
A06AD10,,Y
A06AD14,,
A06AD61,,Y
A06AD65,,Y
A06AG03,,Y
A06AG11,,Y
A06AG20,,Y
A06AH03,,
A06AX02,,Y
A06AX05,,
A07AA51,,Y
A07AA54,,Y
A07AX01,,
A07AX02,,
A07BC05,,
A07BC30,,Y
A07BC54,,Y
A07DA05,,
A07DA52,,Y
A07DA53,,Y
A07EA07,,
A07FA51,,Y
A07XA01,,
A07XA02,43012572,
A07XA03,,
A07XA04,,
A07XA51,,Y
A08AA06,,
A08AA56,,Y
A08AX01,,
A09AA01,,
A09AA03,19031378,
A09AC01,,Y
A09AC02,,Y
A10AD01,19122121,
A10AD02,19122121,
A10AD05,19122121,
A10AD06,,Y
A10AD30,,Y
A10AE06,19122121,
A10BA03,,
A10BB10,,
A10BB11,,
A10BD01,,Y
A10BD02,,Y
A10BD03,,Y
A10BD04,,Y
A10BD05,,Y
A10BD06,,Y
A10BD07,,Y
A10BD08,,Y
A10BD09,,Y
A10BD10,,Y
A10BD11,,Y
