id	code	domain_name	secondary_domain
2211716	76376	Procedure	
2211717	76377	Procedure	
2108486	38747	Procedure	
42742540	49083	Procedure	
42742539	49082	Procedure	
2109752	51845	Procedure	
2106908	32998	Procedure	
2103013	20982	Procedure	
42740942	0120T	Procedure	
2102676	19105	Procedure	
2109341	47382	Procedure	
2109636	50592	Procedure	
2109340	47381	Procedure	
2109339	47380	Procedure	
2109575	50250	Procedure	
42741007	0135T	Procedure	
2109637	50593	Procedure	
2102439	15787	Procedure	
2102438	15786	Procedure	
2102354	15336	Procedure	
2102353	15335	Procedure	
2102352	15331	Procedure	
2102341	15330	Procedure	
2102318	15176	Procedure	
2102317	15175	Procedure	
2102316	15171	Procedure	
2102315	15170	Procedure	
2102380	15431	Procedure	
2102379	15430	Procedure	
2104833	27120	Procedure	
2104834	27122	Procedure	
2101874	10040	Procedure	
40757118	0225T	Procedure	
40756976	0224T	Procedure	
40756875	0223T	Procedure	
42740716	0069T	Procedure	
42740717	0070T	Procedure	
42740715	0068T	Procedure	
40757149	92570	Procedure	
42734374	92569	Procedure	
2313736	92568	Procedure	
2103634	23130	Procedure	
42740971	0089T	Procedure	
2314094	95803	Procedure	
2314252	96900	Procedure	
2108782	4250F	Procedure	
2314324	97814	Procedure	
2314323	97813	Procedure	
2314322	97811	Procedure	
2314321	97810	Procedure	
42739019	97781	Procedure	
42739018	97780	Procedure	
2211963	78278	Procedure	
2211980	78456	Procedure	
2105896	29440	Procedure	
43528009	93657	Procedure	
2108820	42831	Procedure	
2108819	42830	Procedure	
2108822	42836	Procedure	
2108821	42835	Procedure	
40757071	14301	Procedure	
40757055	14302	Procedure	
2102255	14060	Procedure	
2102256	14061	Procedure	
2102253	14040	Procedure	
2102254	14041	Procedure	
42735360	14300	Procedure	
2102241	14020	Procedure	
2102252	14021	Procedure	
2102239	14000	Procedure	
2102240	14001	Procedure	
2102936	20693	Procedure	
2514540	99420	Procedure	
2211921	78075	Procedure	
2110390	60540	Procedure	
2110391	60545	Procedure	
2314027	94642	Procedure	
2314037	94664	Procedure	
42738857	94665	Procedure	
42742389	94728	Procedure	
40756879	0250T	Procedure	
2514536	99408	Procedure	
2514537	99409	Procedure	
40756895	0206T	Procedure	
2110380	6030F	Procedure	
43528011	95018	Procedure	
43528010	95017	Procedure	
2102976	20930	Procedure	
2102977	20931	Procedure	
2102340	15321	Procedure	
2102339	15320	Procedure	
2102338	15301	Procedure	
2102337	15300	Procedure	
2007440	92	Procedure	
2108705	41830	Procedure	
2108711	41874	Procedure	
2313967	93784	Procedure	
2313970	93790	Procedure	
2313968	93786	Procedure	
2313969	93788	Procedure	
2314093	95251	Procedure	
2110279	59000	Procedure	
2110280	59001	Procedure	
2109915	54135	Procedure	
2109914	54130	Procedure	
2109913	54125	Procedure	
2109912	54120	Procedure	
2105451	27888	Procedure	
2104037	24920	Procedure	
2104039	24930	Procedure	
2104038	24925	Procedure	
2104040	24931	Procedure	
2104036	24900	Procedure	
2104720	26951	Procedure	
2104721	26952	Procedure	
2105804	28800	Procedure	
2105805	28805	Procedure	
2104340	25900	Procedure	
2104341	25905	Procedure	
2104353	25909	Procedure	
2104352	25907	Procedure	
2105446	27880	Procedure	
2105448	27882	Procedure	
2105450	27886	Procedure	
2105449	27884	Procedure	
2105447	27881	Procedure	
2104719	26910	Procedure	
2105806	28810	Procedure	
2105209	27590	Procedure	
2105210	27591	Procedure	
2105211	27592	Procedure	
2105223	27596	Procedure	
2105222	27594	Procedure	
2105808	28825	Procedure	
2105807	28820	Procedure	
2414363	99090	Procedure	
2107263	33606	Procedure	
2110538	61711	Procedure	
2107357	33768	Procedure	
42733593	47716	Procedure	
42741059	47719	Procedure	
2109385	47760	Procedure	
2109386	47765	Procedure	
2109387	47780	Procedure	
2109388	47785	Procedure	
2110879	64868	Procedure	
2110880	64870	Procedure	
2110878	64866	Procedure	
42739578	47	Procedure	
2414368	99140	Procedure	
2414367	99135	Procedure	
2414366	99116	Procedure	
42739743	01964	Procedure	
2100824	00532	Procedure	
2101664	01420	Procedure	
2101629	01200	Procedure	
2101636	01220	Procedure	
2101705	01620	Procedure	
2101734	01730	Procedure	
2101655	01380	Procedure	
2101651	01340	Procedure	
2101674	01462	Procedure	
2101757	01820	Procedure	
2101657	01390	Procedure	
2101653	01360	Procedure	
2101658	01392	Procedure	
2101643	01260	Procedure	
2100814	00500	Procedure	
2100741	00322	Procedure	
2100740	00320	Procedure	
2722192	01800	Procedure	
2722188	01300	Procedure	
2722189	01460	Procedure	
2722190	01600	Procedure	
2722191	01700	Procedure	
2722187	01240	Procedure	
2100956	00770	Procedure	
2101755	01810	Procedure	
2101649	01320	Procedure	
2101703	01610	Procedure	
2101642	01250	Procedure	
2100737	00300	Procedure	
2100752	00326	Procedure	
2101721	01670	Procedure	
2101787	01921	Procedure	
2101056	00902	Procedure	
2101784	01918	Procedure	
2101675	01464	Procedure	
2101735	01732	Procedure	
2101630	01202	Procedure	
2101656	01382	Procedure	
2101706	01622	Procedure	
2101618	01130	Procedure	
2101615	01112	Procedure	
2101786	01920	Procedure	
2100826	00537	Procedure	
2101807	01961	Procedure	
2101809	01963	Procedure	
2100817	00520	Procedure	
2100820	00528	Procedure	
2100821	00529	Procedure	
2100818	00522	Procedure	
2100819	00524	Procedure	
2101622	01160	Procedure	
2101783	01916	Procedure	
2101758	01829	Procedure	
2101820	01991	Procedure	
2101821	01992	Procedure	
2100872	00566	Procedure	
2100873	00567	Procedure	
2100627	00104	Procedure	
2100917	00670	Procedure	
2101804	01958	Procedure	
2101032	00866	Procedure	
2101036	00870	Procedure	
2101018	00860	Procedure	
2101021	00865	Procedure	
2101019	00862	Procedure	
2101033	00868	Procedure	
2101020	00864	Procedure	
42739731	00869	Procedure	
2101770	01860	Procedure	
2100876	00580	Procedure	
2100992	00830	Procedure	
2100993	00832	Procedure	
2100995	00836	Procedure	
2100994	00834	Procedure	
2100941	00752	Procedure	
2100940	00750	Procedure	
2100952	00754	Procedure	
2100953	00756	Procedure	
2101811	01965	Procedure	
2101812	01966	Procedure	
2101782	01914	Procedure	
2101781	01912	Procedure	
2101778	01908	Procedure	
2101777	01906	Procedure	
2101780	01910	Procedure	
2101775	01904	Procedure	
2101619	01140	Procedure	
2100713	00214	Procedure	
2100718	00220	Procedure	
2100714	00215	Procedure	
2100701	00211	Procedure	
2100719	00222	Procedure	
2100700	00210	Procedure	
2100716	00218	Procedure	
2100712	00212	Procedure	
2100715	00216	Procedure	
2100692	00174	Procedure	
2100680	00170	Procedure	
2100693	00176	Procedure	
2100681	00172	Procedure	
2100999	00844	Procedure	
2100998	00842	Procedure	
2101015	00855	Procedure	
2101013	00850	Procedure	
2100997	00840	Procedure	
2101001	00848	Procedure	
2101000	00846	Procedure	
2101014	00851	Procedure	
2100973	00797	Procedure	
2100972	00796	Procedure	
2100959	00790	Procedure	
2100961	00794	Procedure	
2100960	00792	Procedure	
2101037	00872	Procedure	
2101038	00873	Procedure	
2100978	00810	Procedure	
2101686	01490	Procedure	
2100913	00640	Procedure	
42739732	01905	Procedure	
2101788	01922	Procedure	
2101627	01180	Procedure	
2101628	01190	Procedure	
2101633	01212	Procedure	
2101632	01210	Procedure	
2101635	01215	Procedure	
2101634	01214	Procedure	
2101624	01170	Procedure	
2101638	01232	Procedure	
2101637	01230	Procedure	
2101639	01234	Procedure	
2101681	01480	Procedure	
2101683	01484	Procedure	
2101682	01482	Procedure	
2101684	01486	Procedure	
2101711	01636	Procedure	
2101708	01630	Procedure	
42735209	01632	Procedure	
2101710	01634	Procedure	
2101712	01638	Procedure	
2101742	01758	Procedure	
2101737	01740	Procedure	
2101738	01742	Procedure	
2101741	01756	Procedure	
2101739	01744	Procedure	
2101744	01760	Procedure	
2101661	01404	Procedure	
2101659	01400	Procedure	
2101660	01402	Procedure	
2101760	01830	Procedure	
2101761	01832	Procedure	
2101625	01173	Procedure	
2100798	00470	Procedure	
2100800	00474	Procedure	
2100799	00472	Procedure	
2414365	99100	Procedure	
2101797	01935	Procedure	
2101798	01936	Procedure	
2101059	00908	Procedure	
2100823	00530	Procedure	
2100900	00634	Procedure	
2100901	00635	Procedure	
2100899	00632	Procedure	
2100898	00630	Procedure	
2101647	01274	Procedure	
2101646	01272	Procedure	
2101645	01270	Procedure	
2722185	01000	Procedure	
2101764	01842	Procedure	
2101763	01840	Procedure	
2101669	01440	Procedure	
2101671	01444	Procedure	
2101670	01442	Procedure	
2101689	01502	Procedure	
2101688	01500	Procedure	
2101716	01652	Procedure	
2101718	01656	Procedure	
2101717	01654	Procedure	
2101715	01650	Procedure	
2101747	01772	Procedure	
2101746	01770	Procedure	
2101617	01120	Procedure	
2100879	00600	Procedure	
2100880	00604	Procedure	
2100795	00454	Procedure	
2100793	00450	Procedure	
2100794	00452	Procedure	
2100641	00120	Procedure	
2100652	00124	Procedure	
2100653	00126	Procedure	
2100659	00144	Procedure	
2100661	00147	Procedure	
2100658	00142	Procedure	
2100657	00140	Procedure	
2100672	00148	Procedure	
2100660	00145	Procedure	
2100696	00190	Procedure	
2100697	00192	Procedure	
2100850	00562	Procedure	
2100851	00563	Procedure	
2100849	00561	Procedure	
2100848	00560	Procedure	
2100975	00800	Procedure	
2100976	00802	Procedure	
2100980	00820	Procedure	
2101041	00882	Procedure	
2101040	00880	Procedure	
2101052	00884	Procedure	
2100756	00350	Procedure	
2100757	00352	Procedure	
2101585	00932	Procedure	
2101588	00938	Procedure	
2101067	00920	Procedure	
2101584	00930	Procedure	
2101587	00936	Procedure	
2101586	00934	Procedure	
2101582	00928	Procedure	
2101071	00926	Procedure	
2101069	00922	Procedure	
2101070	00924	Procedure	
2101068	00921	Procedure	
2101679	01474	Procedure	
2101677	01470	Procedure	
2101678	01472	Procedure	
2101728	01710	Procedure	
2101731	01716	Procedure	
2101730	01714	Procedure	
2101729	01712	Procedure	
2100678	00164	Procedure	
2100676	00160	Procedure	
2100677	00162	Procedure	
2101055	00900	Procedure	
2100625	00102	Procedure	
2722184	00420	Procedure	
2722186	01110	Procedure	
2100624	00100	Procedure	
2100778	00410	Procedure	
2100773	00400	Procedure	
2100775	00404	Procedure	
2100776	00406	Procedure	
2100774	00402	Procedure	
2100895	00625	Procedure	
2100896	00626	Procedure	
2100893	00620	Procedure	
2100894	00622	Procedure	
2100921	00700	Procedure	
2100932	00702	Procedure	
2100936	00730	Procedure	
2101767	01850	Procedure	
2101768	01852	Procedure	
2101667	01432	Procedure	
2101666	01430	Procedure	
2101692	01520	Procedure	
2101693	01522	Procedure	
2101749	01780	Procedure	
2101750	01782	Procedure	
2101057	00904	Procedure	
2101620	01150	Procedure	
2100626	00103	Procedure	
2101751	01784	Procedure	
2101802	01952	Procedure	
2101803	01953	Procedure	
2101801	01951	Procedure	
2101723	01680	Procedure	
2101724	01682	Procedure	
2100846	00550	Procedure	
2101790	01925	Procedure	
2101791	01926	Procedure	
2101789	01924	Procedure	
2101796	01933	Procedure	
2101794	01931	Procedure	
2101795	01932	Procedure	
2101793	01930	Procedure	
2100831	00542	Procedure	
2100844	00548	Procedure	
2100829	00540	Procedure	
42735156	00544	Procedure	
2100843	00546	Procedure	
2100830	00541	Procedure	
2100827	00539	Procedure	
2101061	00910	Procedure	
2101064	00916	Procedure	
2101062	00912	Procedure	
2101063	00914	Procedure	
2101065	00918	Procedure	
2100825	00534	Procedure	
2100938	00740	Procedure	
2101808	01962	Procedure	
2101806	01960	Procedure	
2101594	00948	Procedure	
2101591	00942	Procedure	
2101596	00950	Procedure	
2101597	00952	Procedure	
2101590	00940	Procedure	
2101593	00946	Procedure	
2101592	00944	Procedure	
2101765	01844	Procedure	
2101058	00906	Procedure	
2211635	75898	Procedure	
2211602	75733	Procedure	
2211601	75731	Procedure	
40756855	75791	Procedure	
42737977	75790	Procedure	
2211587	75658	Procedure	
2211591	75671	Procedure	
2211590	75665	Procedure	
2211593	75680	Procedure	
2211592	75676	Procedure	
2211586	75650	Procedure	
2211589	75662	Procedure	
2211588	75660	Procedure	
2211597	75716	Procedure	
2211596	75710	Procedure	
2211607	75756	Procedure	
2211603	75736	Procedure	
2211605	75743	Procedure	
2211606	75746	Procedure	
2211604	75741	Procedure	
2211599	75724	Procedure	
2211598	75722	Procedure	
2211608	75774	Procedure	
2211595	75705	Procedure	
2211594	75685	Procedure	
2211600	75726	Procedure	
2107778	35400	Procedure	
2108730	4210F	Procedure	
2212977	87001	Procedure	
2212978	87003	Procedure	
2105462	27889	Procedure	
2414377	99170	Procedure	
2109269	46700	Procedure	
2109270	46705	Procedure	
2109228	45990	Procedure	
2313627	91122	Procedure	
2109150	45108	Procedure	
40756904	0226T	Procedure	
40756972	0227T	Procedure	
42742481	0288T	Procedure	
2109260	46600	Procedure	
2109268	46615	Procedure	
2109262	46606	Procedure	
2109267	46614	Procedure	
2109261	46604	Procedure	
2109263	46608	Procedure	
2109266	46612	Procedure	
2109264	46610	Procedure	
2109265	46611	Procedure	
2110312	59425	Procedure	
2110313	59426	Procedure	
2110108	57240	Procedure	
2103556	22845	Procedure	
2103557	22846	Procedure	
2103558	22847	Procedure	
2105065	27418	Procedure	
2109751	51841	Procedure	
2109750	51840	Procedure	
2514503	99364	Procedure	
2514502	99363	Procedure	
40756865	33783	Procedure	
40756882	33782	Procedure	
2107382	33800	Procedure	
2211584	75630	Procedure	
2211583	75625	Procedure	
2211582	75605	Procedure	
2211581	75600	Procedure	
2107141	33417	Procedure	
2109141	44950	Procedure	
2109143	44960	Procedure	
2109142	44955	Procedure	
2314280	97034	Procedure	
2314275	97024	Procedure	
2314278	97032	Procedure	
2314270	97014	Procedure	
2314268	97010	Procedure	
2314282	97036	Procedure	
2314276	97026	Procedure	
2314279	97033	Procedure	
42738951	97020	Procedure	
2314272	97018	Procedure	
2314269	97012	Procedure	
2314281	97035	Procedure	
2314277	97028	Procedure	
2314271	97016	Procedure	
2314274	97022	Procedure	
2102935	20692	Procedure	
2102934	20690	Procedure	
42740189	15350	Procedure	
42739679	15351	Procedure	
42739990	15342	Procedure	
42739991	15343	Procedure	
2105826	29035	Procedure	
2105829	29046	Procedure	
2105827	29040	Procedure	
2105828	29044	Procedure	
2105898	29450	Procedure	
2102916	20660	Procedure	
2105892	29365	Procedure	
2105851	29131	Procedure	
2105850	29130	Procedure	
2103093	21100	Procedure	
2105811	29000	Procedure	
2102920	20664	Procedure	
2102917	20661	Procedure	
2102919	20663	Procedure	
2102918	20662	Procedure	
2105878	29325	Procedure	
2105877	29305	Procedure	
2103094	21110	Procedure	
2103572	22851	Procedure	
2105847	29105	Procedure	
2105879	29345	Procedure	
2105880	29355	Procedure	
2105881	29358	Procedure	
2105899	29505	Procedure	
42742502	29582	Procedure	
42742503	29583	Procedure	
42742504	29584	Procedure	
40757039	29581	Procedure	
2102939	20697	Procedure	
2102938	20696	Procedure	
2105895	29435	Procedure	
40757082	33620	Procedure	
2105897	29445	Procedure	
2105823	29015	Procedure	
2105822	29010	Procedure	
2105849	29126	Procedure	
2105848	29125	Procedure	
2105893	29405	Procedure	
2105894	29425	Procedure	
2105900	29515	Procedure	
42742491	15278	Procedure	
42742490	15277	Procedure	
42742489	15276	Procedure	
42742488	15275	Procedure	
42742487	15274	Procedure	
42742486	15273	Procedure	
42742485	15272	Procedure	
42742484	15271	Procedure	
2110553	61800	Procedure	
2110782	64550	Procedure	
2105825	29025	Procedure	
2105824	29020	Procedure	
2102375	15400	Procedure	
2102376	15401	Procedure	
2105844	29075	Procedure	
2105830	29049	Procedure	
2105846	29086	Procedure	
2105845	29085	Procedure	
2105842	29058	Procedure	
2105831	29055	Procedure	
2105843	29065	Procedure	
2108713	4188F	Procedure	
2108717	4191F	Procedure	
2108715	4189F	Procedure	
2108716	4190F	Procedure	
2108569	4056F	Procedure	
2110981	66180	Procedure	
2105363	27740	Procedure	
2105364	27742	Procedure	
2105351	27732	Procedure	
2105350	27730	Procedure	
2105362	27734	Procedure	
2105126	27479	Procedure	
2105124	27475	Procedure	
2105125	27477	Procedure	
2105127	27485	Procedure	
2108273	36640	Procedure	
2108272	36625	Procedure	
2108261	36620	Procedure	
2108260	36600	Procedure	
2108281	36820	Procedure	
2108280	36819	Procedure	
2108279	36818	Procedure	
2108292	36821	Procedure	
2102901	20605	Procedure	
2102912	20610	Procedure	
2102900	20600	Procedure	
2105444	27870	Procedure	
2103500	22554	Procedure	
2103513	22585	Procedure	
2103512	22558	Procedure	
2103501	22556	Procedure	
40756843	22551	Procedure	
40756885	22552	Procedure	
2103499	22548	Procedure	
2103535	22808	Procedure	
2103536	22810	Procedure	
2103537	22812	Procedure	
2104701	26843	Procedure	
2104712	26844	Procedure	
2104699	26841	Procedure	
2104700	26842	Procedure	
42742495	22634	Procedure	
42742494	22633	Procedure	
2104339	25830	Procedure	
2104034	24800	Procedure	
2104035	24802	Procedure	
2103780	23800	Procedure	
2103781	23802	Procedure	
2105802	28755	Procedure	
2105791	28750	Procedure	
2104947	27284	Procedure	
2104948	27286	Procedure	
2104715	26860	Procedure	
2104716	26861	Procedure	
2104717	26862	Procedure	
2104718	26863	Procedure	
2105208	27580	Procedure	
2103497	22533	Procedure	
2103496	22532	Procedure	
2103498	22534	Procedure	
2104713	26850	Procedure	
2104714	26852	Procedure	
2105787	28730	Procedure	
2105788	28735	Procedure	
2105790	28740	Procedure	
2103521	22632	Procedure	
2103520	22630	Procedure	
2103516	22600	Procedure	
2103519	22614	Procedure	
2103518	22612	Procedure	
2103517	22610	Procedure	
2103515	22595	Procedure	
2103514	22590	Procedure	
2103534	22804	Procedure	
2103533	22802	Procedure	
2103532	22800	Procedure	
43527910	22586	Procedure	
43528040	0309T	Procedure	
2101816	0196T	Procedure	
2101805	0195T	Procedure	
2104945	27280	Procedure	
2104946	27282	Procedure	
2105445	27871	Procedure	
2105803	28760	Procedure	
2105789	28737	Procedure	
2104334	25800	Procedure	
2104337	25820	Procedure	
2104338	25825	Procedure	
2104336	25810	Procedure	
2104335	25805	Procedure	
2105784	28705	Procedure	
2105786	28725	Procedure	
2105785	28715	Procedure	
2104232	25441	Procedure	
2104237	25446	Procedure	
2104233	25442	Procedure	
2104235	25444	Procedure	
2104234	25443	Procedure	
2104236	25445	Procedure	
2104836	27130	Procedure	
2105325	27700	Procedure	
2105327	27703	Procedure	
2105326	27702	Procedure	
2103929	24361	Procedure	
2103931	24363	Procedure	
2103930	24362	Procedure	
2103928	24360	Procedure	
2105089	27442	Procedure	
2105090	27443	Procedure	
2103715	23470	Procedure	
2103716	23472	Procedure	
2104577	26535	Procedure	
2104578	26536	Procedure	
2104238	25447	Procedure	
