concept_code	target_concept_code
23334	309851000
37237	103716009
37239	103716009
88199	77485009
77293	53950000
66183	373353005
23335	309851000
97610	89002000
43211	173636006
43193	173652009
43198	173652009
99481	1713004
99482	81643004
10030	287641008
19081	122548005
19082	122548005
19083	418857002
19084	418857002
19085	122548005
19086	122548005
19281	237380007
19282	237380007
19283	237380007
19284	237380007
19285	237380007
19286	237380007
19287	237380007
19288	237380007
23333	66079000
33366	26212005
34841	119810006
34842	119810006
34843	119810006
34844	119810006
34845	119810006
34846	119810006
34847	119810006
34848	119810006
37217	233404000
37236	233404000
37238	233404000
37241	233424001
37242	233424001
37243	233424001
37244	233424001
43191	30269005
43192	173665000
43194	173665000
43195	173666004
43196	173666004
43197	443290002
43212	265352003
43213	173646008
43214	173646008
43229	235144001
43233	173646008
43253	443290002
43254	76009000
43266	76009000
43270	76009000
43274	83735008
43275	386718000
43276	386718000
43277	432876003
43278	386718000
49405	122462000
49406	122462000
49407	122462000
52356	274380008
64616	64874008
64617	64874008
64642	64874008
64643	64874008
64644	64874008
64645	64874008
64646	64874008
64647	64874008
92521	26342005
92522	26342005
92523	26342005
93582	698642008
93583	77371000
94669	127779003
3755F	243185007
0329T	252837005
0330T	421022008
0331T	64432007
0332T	64432007
0333T	284014008
0334T	67721000
0335T	61557004
0336T	430270007
0337T	3204007
0338T	3204007
0339T	3204007
0328T	7536003
0327T	448150008
0326T	108231004
0325T	65936006
0324T	233171004
0323T	233171004
0322T	233171004
0321T	233170003
0320T	233170003
0319T	233170003
19081	237380007
19082	237380007
19083	237380007
19084	237380007
19085	237380007
19086	237380007
43191	23864003
43192	443290002
43196	53178003
43229	18243008
52356	133864008
0336T	450559006
