CONCEPT_ID	CONCEPT_CODE	CONCEPT_CLASS
40664728	G8771	Condition
2617866	G8467	Condition
40659147	G8565	Condition
40664750	G8821	Condition
2617496	G8006	Condition
2617499	G8009	Condition
2617497	G8007	Condition
2617500	G8010	Condition
2617782	G8375	Condition
40664869	G8879	Condition
2617704	G8296	Condition
2617701	G8293	Condition
2617529	G8039	Condition
2617530	G8040	Condition
2617526	G8036	Condition
2617527	G8037	Condition
40663931	G8575	Condition
2617513	G8023	Condition
2617514	G8024	Condition
2617505	G8015	Condition
2617506	G8016	Condition
2617509	G8019	Condition
2617510	G8020	Condition
2617797	G8390	Condition
2617792	G8385	Condition
2617793	G8386	Condition
2617551	G8082	Condition
2617550	G8081	Condition
2617544	G8075	Condition
2617545	G8076	Condition
2617547	G8078	Condition
2617548	G8079	Condition
2617552	G8085	Condition
2617794	G8387	Condition
2617795	G8388	Condition
2617957	G9013	Condition
2617493	G6	Condition
40664645	G8823	Condition
40664787	G8824	Condition
2617787	G8380	Condition
2617788	G8381	Condition
2617520	G8030	Condition
2617517	G8027	Condition
2617521	G8031	Condition
2617518	G8028	Condition
40664135	V8	Condition
2617649	G8240	Condition
40664804	G8822	Condition
40664820	G8848	Condition
2617789	G8382	Condition
2617796	G8389	Condition
2617553	G8093	Condition
2617554	G8094	Condition
2617557	G8103	Condition
2618009	G9075	Condition
2618006	G9072	Condition
2618005	G9071	Condition
2618007	G9073	Condition
2618008	G9074	Condition
2618065	G9131	Condition
2618021	G9087	Condition
2618022	G9088	Condition
2618018	G9084	Condition
2618020	G9086	Condition
2618019	G9085	Condition
2618030	G9096	Condition
2618031	G9097	Condition
2618034	G9100	Condition
2618035	G9101	Condition
2618046	G9112	Condition
2618045	G9111	Condition
2618043	G9109	Condition
2618044	G9110	Condition
2617998	G9064	Condition
2617999	G9065	Condition
2617997	G9063	Condition
2618002	G9068	Condition
2618048	G9114	Condition
2618011	G9077	Condition
2618024	G9090	Condition
2618026	G9092	Condition
2618025	G9091	Condition
2618027	G9093	Condition
2617987	G9053	Condition
2617993	G9059	Condition
2618058	G9124	Condition
2618059	G9125	Condition
2618057	G9123	Condition
2618073	G9139	Condition
2618060	G9126	Condition
2618023	G9089	Condition
2618033	G9099	Condition
2618032	G9098	Condition
2618036	G9102	Condition
2618037	G9103	Condition
2618038	G9104	Condition
2618064	G9130	Condition
2618062	G9128	Condition
2618063	G9129	Condition
2618001	G9067	Condition
2618000	G9066	Condition
2618072	G9138	Condition
2618071	G9137	Condition
2618068	G9134	Condition
2618069	G9135	Condition
2618070	G9136	Condition
2618050	G9116	Condition
2618051	G9117	Condition
2618047	G9113	Condition
2618049	G9115	Condition
2618039	G9105	Condition
2618042	G9108	Condition
2618040	G9106	Condition
2618041	G9107	Condition
2618012	G9078	Condition
2618013	G9079	Condition
2618014	G9080	Condition
2618017	G9083	Condition
2618066	G9132	Condition
2618067	G9133	Condition
2618029	G9095	Condition
2618028	G9094	Condition
2618003	G9069	Condition
2618004	G9070	Condition
43533178	G8947	Condition
2617597	G8183	Condition
2617599	G8185	Condition
2617798	G8391	Condition
2617502	G8012	Condition
2617503	G8013	Condition
2617494	G7	Condition
2617714	G8306	Condition
2617716	G8308	Condition
40664750	G8821	Condition
2617496	G8006	Condition
2617499	G8009	Condition
2617497	G8007	Condition
2617500	G8010	Condition
2617782	G8375	Condition
40664869	G8879	Condition
2617704	G8296	Condition
2617701	G8293	Condition
2617529	G8039	Condition
2617530	G8040	Condition
2617526	G8036	Condition
2617527	G8037	Condition
40663931	G8575	Condition
2617513	G8023	Condition
2617514	G8024	Condition
2617505	G8015	Condition
2617506	G8016	Condition
2617509	G8019	Condition
2617510	G8020	Condition
2617797	G8390	Condition
2617792	G8385	Condition
2617793	G8386	Condition
2617551	G8082	Condition
2617550	G8081	Condition
2617544	G8075	Condition
2617545	G8076	Condition
2617547	G8078	Condition
2617548	G8079	Condition
2617552	G8085	Condition
2617794	G8387	Condition
2617795	G8388	Condition
2617957	G9013	Condition
2617493	G6	Condition
40664645	G8823	Condition
40664787	G8824	Condition
2617787	G8380	Condition
2617788	G8381	Condition
2617520	G8030	Condition
2617517	G8027	Condition
2617521	G8031	Condition
2617518	G8028	Condition
40664135	V8	Condition
2617649	G8240	Condition
40664804	G8822	Condition
40664820	G8848	Condition
2617789	G8382	Condition
2617796	G8389	Condition
2617553	G8093	Condition
2617554	G8094	Condition
2617557	G8103	Condition
2618009	G9075	Condition
2618006	G9072	Condition
2618005	G9071	Condition
2618007	G9073	Condition
2618008	G9074	Condition
2618065	G9131	Condition
2618021	G9087	Condition
2618022	G9088	Condition
2618018	G9084	Condition
2618020	G9086	Condition
2618019	G9085	Condition
2618030	G9096	Condition
2618031	G9097	Condition
2618034	G9100	Condition
2618035	G9101	Condition
2618046	G9112	Condition
2618045	G9111	Condition
2618043	G9109	Condition
2618044	G9110	Condition
