concept_id1(hcpcs)	concept_id2_(SNOMED)
2617206	4215705
40661235	4215138
40664440	4189303
40664562	4189303
40664478	4189303
40662757	4133660
40664727	4090059
40664849	4037130
40664888	4041881
40664913	4324383
40664656	4064918
40664656	4191851
40664854	4250175
40662009	4063101
2618102	4158091
2618102	4215138
2618147	4254232
2618148	4158091
2618148	4215138
2720506	4044361
2720506	4301132
2720510	4206982
2720511	4206982
40664570	4152046
2720580	40490316
2721181	4194409
2721186	4103067
2721187	4136736
2721188	4136736
2721189	4069410
2721193	4048727
40659575	4038339
43533351	4215705
2721194	4237017
2721195	4035735
2721195	4228632
2721196	4035735
2721196	4226283
2721197	4035735
2721197	4048727
2721198	4038339
2721199	4233623
2721200	4035735
2721200	4233623
2721201	4035735
2721201	4233623
2721203	4038339
2721204	4035735
2721205	4038339
2721206	4035735
2721206	4062654
2721206	4233623
2721207	4035735
2721207	4233623
2721207	4293718
2721208	4266507
2721209	4237017
2721210	4237017
2721211	4266507
2721212	4266507
2721213	4237017
2721214	4237017
2721215	4237017
2721216	4237017
2721217	4237017
2721218	4237017
2721219	4237017
2721220	4266507
2721221	4237017
2721223	4237017
2721224	4237017
2721225	4237017
2721227	4035735
2721227	4233623
2721228	4237017
2721229	4064378
2721230	4266507
2617385	4132152
40660437	4238668
2617791	4249882
2721185	4216098
2721202	4237017
2721226	4237017
