source_code	target_concept_code		
037	76902006		
092	186867005		
427.9	698247007		
491.9	63480004		
591	43064006		
643.81	90325002		
712.22	201637001		
712.23	201637001		
730	111253001		
903.1	88744007		
945.19	89390009		
945.39	818005		
995.5	289431000119109		
V15.85	0		
V61.0	28332004		
V62.2	302768007		
416.2	133971000119108		
428.41	153931000119109		
428.42	153941000119100		
428.43	443253003		
V07.0	464431000000103		
V07.1	0		
V07.2	0		
V07.3	465401000000105		
V07.31	0		
V07.39	465401000000105		
V44.7	440021000000106		
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
